wf_window_id,band_name,band_min,band_max,train_start_time,train_end_time,test_start_time,test_end_time,train_rows,test_rows,starting_equity,ending_equity,train_trades,train_win_rate,train_total_net_return,train_max_drawdown,test_trades,test_win_rate,test_avg_net_return,test_total_net_return,test_max_drawdown,test_final_equity,test_rejections,test_avg_specialist_pred_proba,test_take_profit_count,test_stop_loss_count,test_time_exit_count,has_test_trade
1,ge_0.78,0.78,,2025-08-04 20:30:00,2025-10-16 04:30:00,2025-10-16 05:30:00,2025-11-04 10:30:00,506,126,100000.0,100833.13964819066,5,0.4,-0.026256827396515026,-0.03275330466083115,1,1.0,0.02911968398651259,0.008331396481906506,0.0,100833.13964819066,113,0.9947859770117604,0,0,1,1
2,ge_0.78,0.78,,2025-08-04 20:30:00,2025-11-04 10:30:00,2025-11-04 12:30:00,2025-11-21 15:30:00,632,126,100833.13964819066,100833.13964819066,6,0.5,-0.01814418695400566,-0.03275330466083115,0,0.0,0.0,0.0,0.0,100833.13964819066,126,0.0,0,0,0,0
3,ge_0.78,0.78,,2025-08-04 20:30:00,2025-11-21 15:30:00,2025-11-21 17:30:00,2025-12-08 20:30:00,758,126,100833.13964819066,99748.11951545243,6,0.5,-0.01814418695400566,-0.03275330466083115,1,0.0,-0.019650189040090502,-0.010760550911375844,0.0,99748.11951545243,117,0.7992156629875056,0,1,0,1
4,ge_0.78,0.78,,2025-08-04 20:30:00,2025-12-08 20:30:00,2025-12-09 11:30:00,2025-12-29 23:30:00,884,126,99748.11951545243,99941.0247675202,7,0.42857142857142855,-0.028709496417917424,-0.03275330466083115,2,0.5,0.004544760828351277,0.0019339236970565832,-0.007176277758835559,99941.0247675202,101,0.8536341334834279,0,0,2,1
5,ge_0.78,0.78,,2025-08-04 20:30:00,2025-12-29 23:30:00,2025-12-30 07:30:00,2026-01-21 17:30:00,1010,126,99941.0247675202,103268.98172157753,9,0.4444444444444444,-0.02683109469631395,-0.03275330466083115,3,1.0,0.01632483786935392,0.033299207825802535,0.0,103268.98172157753,93,0.8855031330691414,1,0,2,1
6,ge_0.78,0.78,,2025-08-04 20:30:00,2026-01-21 17:30:00,2026-01-21 18:30:00,2026-02-10 20:30:00,1136,126,103268.98172157753,102147.94144827829,12,0.5833333333333334,0.007728649093558415,-0.03275330466083115,1,0.0,-0.017638043153160917,-0.010855537205950783,0.0,102147.94144827829,122,0.802108156136128,0,1,0,1
1,0.78_to_0.90,0.78,0.9,2025-08-04 20:30:00,2025-10-16 04:30:00,2025-10-16 05:30:00,2025-11-04 10:30:00,506,126,100000.0,100000.0,2,0.5,-0.008987137264640177,-0.01098825114913593,0,0.0,0.0,0.0,0.0,100000.0,126,0.0,0,0,0,0
2,0.78_to_0.90,0.78,0.9,2025-08-04 20:30:00,2025-11-04 10:30:00,2025-11-04 12:30:00,2025-11-21 15:30:00,632,126,100000.0,100000.0,2,0.5,-0.008987137264640177,-0.01098825114913593,0,0.0,0.0,0.0,0.0,100000.0,126,0.0,0,0,0,0
3,0.78_to_0.90,0.78,0.9,2025-08-04 20:30:00,2025-11-21 15:30:00,2025-11-21 17:30:00,2025-12-08 20:30:00,758,126,100000.0,98923.94490886241,2,0.5,-0.008987137264640177,-0.01098825114913593,1,0.0,-0.019650189040090502,-0.010760550911375955,0.0,98923.94490886241,117,0.7992156629875056,0,1,0,1
4,0.78_to_0.90,0.78,0.9,2025-08-04 20:30:00,2025-12-08 20:30:00,2025-12-09 11:30:00,2025-12-29 23:30:00,884,126,98923.94490886241,99115.25627012798,3,0.3333333333333333,-0.01965098162793233,-0.021652095512428082,2,0.5,0.004544760828351277,0.0019339236970565832,-0.007176277758835559,99115.25627012798,101,0.8536341334834279,0,0,2,1
5,0.78_to_0.90,0.78,0.9,2025-08-04 20:30:00,2025-12-29 23:30:00,2025-12-30 07:30:00,2026-01-21 17:30:00,1010,126,99115.25627012798,102045.17139972813,5,0.4,-0.01775506142991634,-0.021652095512428082,2,1.0,0.022149082434414033,0.029560687626282167,0.0,102045.17139972813,106,0.8778845323459135,1,0,1,1
6,0.78_to_0.90,0.78,0.9,2025-08-04 20:30:00,2026-01-21 17:30:00,2026-01-21 18:30:00,2026-02-10 20:30:00,1136,126,102045.17139972813,100937.41624491077,7,0.5714285714285714,0.013446987312909942,-0.021652095512428082,1,0.0,-0.017638043153160917,-0.010855537205950672,0.0,100937.41624491077,122,0.802108156136128,0,1,0,1
1,0.78_to_0.95,0.78,0.95,2025-08-04 20:30:00,2025-10-16 04:30:00,2025-10-16 05:30:00,2025-11-04 10:30:00,506,126,100000.0,100000.0,2,0.5,-0.010302237111916357,-0.010973669454032775,0,0.0,0.0,0.0,0.0,100000.0,126,0.0,0,0,0,0
2,0.78_to_0.95,0.78,0.95,2025-08-04 20:30:00,2025-11-04 10:30:00,2025-11-04 12:30:00,2025-11-21 15:30:00,632,126,100000.0,100000.0,2,0.5,-0.010302237111916357,-0.010973669454032775,0,0.0,0.0,0.0,0.0,100000.0,126,0.0,0,0,0,0
3,0.78_to_0.95,0.78,0.95,2025-08-04 20:30:00,2025-11-21 15:30:00,2025-11-21 17:30:00,2025-12-08 20:30:00,758,126,100000.0,98923.94490886241,2,0.5,-0.010302237111916357,-0.010973669454032775,1,0.0,-0.019650189040090502,-0.010760550911375955,0.0,98923.94490886241,117,0.7992156629875056,0,1,0,1
4,0.78_to_0.95,0.78,0.95,2025-08-04 20:30:00,2025-12-08 20:30:00,2025-12-09 11:30:00,2025-12-29 23:30:00,884,126,98923.94490886241,99115.25627012798,3,0.3333333333333333,-0.02095193027634823,-0.021623362618464648,2,0.5,0.004544760828351277,0.0019339236970565832,-0.007176277758835559,99115.25627012798,101,0.8536341334834279,0,0,2,1
5,0.78_to_0.95,0.78,0.95,2025-08-04 20:30:00,2025-12-29 23:30:00,2025-12-30 07:30:00,2026-01-21 17:30:00,1010,126,99115.25627012798,102415.71578737466,5,0.4,-0.01905852601375224,-0.021623362618464648,3,1.0,0.01632483786935392,0.033299207825802535,0.0,102415.71578737466,93,0.8855031330691414,1,0,2,1
6,0.78_to_0.95,0.78,0.95,2025-08-04 20:30:00,2026-01-21 17:30:00,2026-01-21 18:30:00,2026-02-10 20:30:00,1136,126,102415.71578737466,101303.93817417073,8,0.625,0.01577724178469131,-0.021623362618464648,1,0.0,-0.017638043153160917,-0.010855537205950783,0.0,101303.93817417073,122,0.802108156136128,0,1,0,1
