accuracy,precision,recall,f1,roc_auc,fold,train_rows,test_rows
0.51,0.6626506024096386,0.44,0.5288461538461539,0.5003733333333333,1,2000,200
0.475,0.5789473684210527,0.2894736842105263,0.38596491228070173,0.46532027743778054,2,2200,200
0.525,0.512396694214876,0.6326530612244898,0.5662100456621004,0.52781112444978,3,2400,200
0.485,0.6025641025641025,0.3949579831932773,0.47715736040609136,0.5191409897292251,4,2600,200
0.495,0.5263157894736842,0.4716981132075472,0.4975124378109453,0.47822159775190687,5,2800,200
0.505,0.5144927536231884,0.6893203883495146,0.5892116182572614,0.5280752677409668,6,3000,200
0.51,0.4766355140186916,0.5483870967741935,0.51,0.5127122902220883,7,3200,200
0.47,0.5384615384615384,0.49122807017543857,0.5137614678899083,0.44614443084455324,8,3400,200
0.585,0.5666666666666667,0.6868686868686869,0.6210045662100456,0.595059505950595,9,3600,200
0.52,0.4230769230769231,0.55,0.4782608695652174,0.5292708333333334,10,3800,200
0.615,0.7066666666666667,0.49074074074074076,0.5792349726775956,0.6674718196457327,11,4000,200
0.49,0.452991452991453,0.5824175824175825,0.5096153846153846,0.4704103236213327,12,4200,200
0.54,0.5595238095238095,0.46078431372549017,0.5053763440860215,0.5177070828331333,13,4400,200
0.59,0.6021505376344086,0.5544554455445545,0.5773195876288659,0.6272627262726272,14,4600,200
0.62,0.5877862595419847,0.7777777777777778,0.6695652173913044,0.6590659065906591,15,4800,200
0.615,0.5609756097560976,0.75,0.641860465116279,0.6354669887278582,16,5000,200
0.505,0.4722222222222222,0.5483870967741935,0.5074626865671642,0.5521053160486383,17,5200,200
0.455,0.5066666666666667,0.34545454545454546,0.41081081081081083,0.5003030303030302,18,5400,200
0.545,0.5632183908045977,0.4803921568627451,0.5185185185185185,0.5865346138455383,19,5600,200
0.59,0.5892857142857143,0.6470588235294118,0.616822429906542,0.5921368547418968,20,5800,200
0.54,0.5614035087719298,0.6037735849056604,0.5818181818181818,0.5432557205941388,21,6000,200
0.485,0.7169811320754716,0.30158730158730157,0.4245810055865922,0.5394680394680395,22,6200,200
0.535,0.5607476635514018,0.5660377358490566,0.5633802816901409,0.5253914090726616,23,6400,200
0.49,0.4375,0.6511627906976745,0.5233644859813084,0.5594655242758059,24,6600,200
0.44,0.3482142857142857,0.5,0.4105263157894737,0.4596469104665826,25,6800,200
0.54,0.5107913669064749,0.7473684210526316,0.6068376068376068,0.5603007518796993,26,7000,200
0.495,0.51,0.49514563106796117,0.5024630541871922,0.47372635371834654,27,7200,200
0.445,0.4888888888888889,0.4036697247706422,0.44221105527638194,0.4492388345599355,28,7400,200
0.495,0.43859649122807015,0.5747126436781609,0.4975124378109453,0.5298545417556708,29,7600,200
0.48,0.5409836065573771,0.30275229357798167,0.38823529411764707,0.5431999193467083,30,7800,200
0.505,0.5096153846153846,0.5247524752475248,0.5170731707317073,0.48664866486648667,31,8000,200
0.5,0.49382716049382713,0.40404040404040403,0.4444444444444444,0.5287528752875288,32,8200,200
0.58,0.6,0.5533980582524272,0.5757575757575758,0.6293664297868081,33,8400,200
